model,setting,mae,rmse,mase,crps,coverage80,mae_lo,mae_hi,verdict
chronos2_futr_choke,interventional,3.8417612804824133,17.20758114245443,10.79291092747789,3.2592909269404604,0.7424350175032388,4.278114734020505,5.249106055917495,PASS
chronos2_futr_onstream,interventional,3.876052764854096,17.297703879817035,10.794987134452814,3.3172963482077,0.7396179608037707,4.3088757584585515,5.287547593350339,PASS
chronos2_futr_all,interventional,3.8962870768029494,17.30230923973495,10.807148454951733,3.2851712734793566,0.7261004989112159,4.334160729637269,5.315889829119895,PASS
chronos2_futr_injection,interventional,3.9530870624847094,17.305603051822857,10.891210391699143,3.4359251332844987,0.7619669781416246,4.386322056364795,5.363324411297172,PASS
identity_rate_x_hours,interventional,4.436636343220282,18.059717580651725,11.369813556914105,,,4.873093751433368,5.897133886816982,—
lightgbm_intervention,interventional,8.11037632803294,24.66904173942979,17.528045022584873,,,8.857921673769114,10.24546658678075,FAIL(输给恒等式)
chronos2_past_all,pure,3.969640915090452,17.338375641311842,10.854731789779052,3.480878024708012,0.7701425066843077,4.406881624104061,5.388409140702145,PASS
chronos2_past_state,pure,3.995219902093949,17.359169019109892,10.857000719757746,3.493487000318149,0.7653518564458778,4.430454587519371,5.413474755599949,—
chronos2_zeroshot,pure,4.129624203527672,17.5311202368113,10.89367738224816,3.6225016576612266,0.7552192728575761,4.632138229154059,5.603834710656095,—
history_mean,pure,4.436636343220282,18.059717580651725,11.369813556914105,,,4.873093751433368,5.897133886816982,—
last_value,pure,4.473112954043416,21.10430580782948,11.126039958488949,,,5.02319209098762,6.2956166654383265,—
seasonal_naive7,pure,4.499072068380751,18.36244863850668,11.130972534411955,,,4.971605669939046,5.997338035744684,—
arps_exponential,pure,5.4069750622428066,18.796533006912558,11.562991076455482,,,5.909189375481163,6.93338592997207,—
lightgbm_history,pure,11.150594635811803,28.811728569250704,25.331225721233942,,,11.34960254207743,12.794061746497785,—
