model,setting,mae,rmse,mase,crps,coverage80,mae_lo,mae_hi,verdict
identity_rate_x_hours,interventional,81.66897459474427,242.9618392832249,3.0026862522475835,,,78.97804967699355,88.41614069159107,—
chronos2_futr_all,interventional,85.24364415018022,175.5706497330614,4.963175003173221,71.27880948636722,0.7365921215608633,84.52645263895073,89.85928584083283,FAIL(输给恒等式)
chronos2_futr_onstream,interventional,89.0896437768654,185.16413079373808,5.162631479309324,75.1368501086408,0.7399081271395551,88.18350712585563,93.99588514849997,FAIL(输给恒等式)
chronos2_futr_choke,interventional,108.05872669376119,243.70671937130763,5.407524680930757,88.51397476540511,0.7515970468044435,107.01707601791621,115.22665663099068,FAIL(输给恒等式)
chronos2_futr_injection,interventional,123.93523834188876,244.10683229294597,6.1950857631709075,103.70216205792549,0.7504608272458623,123.78812408628632,130.57701777089065,FAIL(输给恒等式)
lightgbm_intervention,interventional,215.9551617307903,450.67870737232994,8.483142418702295,,,212.52581812153542,228.43956240310615,FAIL(输给恒等式)
chronos2_past_all,pure,147.3001760672352,304.24486145578487,6.466678053326987,122.24264998880504,0.7440043693249978,146.90986642522535,156.6852116406792,PASS
chronos2_past_state,pure,148.13916573999109,305.6072730164745,6.469723924713352,122.73915121439101,0.7395862795392703,147.72003475598817,157.54359879617658,—
chronos2_zeroshot,pure,151.73617931864607,307.524028284827,6.491208165710565,125.72727138906536,0.7298138160397141,151.3168968562537,161.14207925485195,—
last_value,pure,153.8899253411097,318.67756753546655,6.586161401803336,,,152.74657280852867,162.85817611930895,—
history_mean,pure,155.48847171693012,288.7447914386536,6.977838851271709,,,155.17532618499703,164.42590498027408,—
seasonal_naive7,pure,165.90171841055027,330.98596519623135,6.878930380773917,,,165.17894812431945,174.8013413894654,—
arps_exponential,pure,193.0069952275609,332.9568931762653,7.3357213370392005,,,191.25554393142792,201.72421268527626,—
lightgbm_history,pure,281.0962349210146,487.33348590848226,12.728411593963749,,,277.4298687072057,294.0817202178303,—
